SAMPLES;Date;EC;FE;CP;SomPhg;HMBactPhg;CWBactPhg;PGBactPhg;PLBactPhg;BifSorb;BifTot;HMBif;CWBif;PGNeo;PLBif;TLBif;BacR;Pig2Bac;AllBac;HF183TaqMan;FEqPCR;HMMit;CWMit;PGMit;PLMit;Acesulfame;Cyclamate;Saccharain ;Sucralose;Adeno;NoV;
D20HM_S;25/08/2014;1.5E+06;3.3E+05;6.0E+03;4.4E+05;7.51E+03;<5;<5;1.30E+02;2.9E+05;6.9E+05;2.55E+05;1.30E+04;<3.60E+04;<3.57E+03;6.03E+06;<4.79E+02;<4.79E+02;1.68E+09;2.21E+06;1.29E+08;3.4E+05;<1.0E+04;<1.6E+04;<1.0E+04;290;1000;<50;6200;1.3E+05;<8.0E+02;
D21PG_S;25/08/2014;2.1E+06;8.0E+06;3.8E+05;6.5E+02;<5;<5;<5;<5;6.5E+03;5.5E+06;3.49E+06;<3.00E+04;<3.60E+04;<3.57E+03;6.37E+07;<4.79E+02;1.39E+09;8.17E+09;<4.79E+02;2.64E+07;<1.6E+04;<1.0E+04;5.4E+06;5.4E+05;<50;<50;<50;<50;<4.0E+04;6.00E+03;
D22CW_S;25/08/2014;9.8E+05;6.7E+06;<1.0E+02;<1.0E+01;<5;<5;<5;<5;9.0E+05;1.1E+06;<6.40E+04;1.25E+07;<3.60E+04;<3.57E+03;2.99E+07;5.21E+08;<4.79E+02;1.47E+10;<4.79E+02;4.67E+07;<1.6E+04;1.2E+07;<1.6E+04;<1.0E+04;<50;55;<50;<50;<4.0E+04;2.36E+04;
D23PL_S;25/08/2014;1.4E+08;8.6E+06;2.5E+02;8.4E+07;<5;<5;<5;<5;1.3E+04;2.2E+07;<6.40E+04;2.58E+06;<3.60E+04;9.52E+07;6.29E+07;<4.79E+02;<4.79E+02;5.50E+08;<4.79E+02;2.52E+09;<1.6E+04;<1.0E+04;<1.6E+04;1.6E+06;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
D24HO_S;25/08/2014;1.6E+06;7.1E+05;<1.0E+00;2.5E+03;<5;<5;<5;<5;7.3E+04;2.5E+05;<6.40E+04;<3.00E+04;<3.60E+04;<3.57E+03;1.92E+07;<4.79E+02;<4.79E+02;5.03E+09;1.65E+03;1.90E+07;<1.6E+04;<1.0E+04;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;NA;
D25RA_S;25/08/2014;7.3E+05;8.3E+05;<1.0E+01;<1.0E+01;<5;<5;<5;<5;1.2E+04;2.1E+04;<6.40E+04;<3.00E+04;<3.60E+04;<3.57E+03;3.01E+07;2.53E+02;1.44E+03;2.16E+08;3.60E+04;1.79E+06;<1.6E+04;<1.0E+04;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;NA;
F01HM_F;10/12/2013;4.55E+05;4.41E+04;4.41E+03;6.50E+04;1.25E+02;1.00E+01;<5;7.00E+01;3.40E+06;1.12E+07;4.33E+05;<3.00E+04;<3.60E+04;<3.57E+03;1.61E+07;8.26E+03;<4.79E+02;1.93E+09;3.28E+07;3.74E+08;1.8E+05;<1.0E+04;<1.6E+04;<1.0E+04;290;<50;<50;220;1.6E+05;4.80E+04;
F02PG_F;10/12/2013;9.64E+05;3.59E+04;< 1.0E+02;8.27E+05;<5;<5;1.00E+01;<5;< 1.0E+04;1.09E+08;<6.40E+04;1.64E+07;1.21E+07;<3.57E+03;1.22E+08;<4.79E+02;3.73E+10;2.62E+10;<4.79E+02;1.37E+09;5.2E+04;<1.0E+04;5.4E+06;<1.0E+04;<50;<50;<50;180;<4.0E+04;6.92E+04;
F03CW_F;10/12/2013;4.50E+05;2.70E+05;1.10E+03;2.91E+03;<5;<5;<5;<5;2.95E+06;2.85E+07;<6.40E+04;1.23E+05;<3.60E+04;<3.57E+03;1.24E+07;4.43E+07;<4.79E+02;7.36E+08;2.36E+02;1.38E+07;<1.6E+04;1.8E+05;<1.6E+04;<1.0E+04;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
F04PL_F;10/12/2013;2.00E+04;4.64E+03;< 1.0E+01;9.09E+01;<5;<5;<5;<5;2.27E+03;2.45E+04;<6.40E+04;<3.00E+04;<3.60E+04;4.40E+05;4.20E+06;<4.79E+02;<4.79E+02;6.78E+08;<4.79E+02;1.47E+07;<1.6E+04;<1.0E+04;<1.6E+04;1.9E+06;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
